,Marital status,Application mode,Application order,Course,Daytime/evening attendance,Previous qualification,Previous qualification (grade),Nacionality,Mother's qualification,Father's qualification,Admission grade,Displaced,Educational special needs,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,International,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Unemployment rate,Inflation rate,GDP,Target
0,single,2nd phase - general contingent,intermediate choice,Animation and Multimedia Design,daytime,Secondary education,122.0,Portuguese,Basic education 3rd cycle (9th/10th/11th year) or equiv,Other - 11th year of schooling,127.3,1,0,0,1,male,0,20,0,0,0,0,0.0,0,0,0,0.0,10.8,1.4,1.74,Dropout
1,single,International student (bachelor),first choice,Tourism,daytime,Secondary education,160.0,Portuguese,Secondary education,Higher education - degree,142.5,1,0,0,0,male,0,19,0,0,6,6,14.0,0,6,6,13.66666667,13.9,-0.3,0.79,Graduate
2,single,1st phase - general contingent,intermediate choice,Communication Design,daytime,Secondary education,122.0,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,124.8,1,0,0,0,male,0,19,0,0,6,0,0.0,0,6,0,0.0,10.8,1.4,1.74,Dropout
3,single,2nd phase - general contingent,intermediate choice,Journalism and Communication,daytime,Secondary education,122.0,Portuguese,Basic education 2nd cycle (6th/7th/8th year) or equiv,Basic education 1st cycle (4th/5th year) or equiv.,119.6,1,0,0,1,female,0,20,0,0,6,6,13.42857143,0,6,5,12.4,9.4,-0.8,-3.12,Graduate
4,married,Over 23 years old,first choice,Social Service (evening attendance),evening,Secondary education,100.0,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 2nd cycle (6th/7th/8th year) or equiv,141.5,0,0,0,1,female,0,45,0,0,6,5,12.33333333,0,6,6,13.0,13.9,-0.3,0.79,Graduate
5,married,Over 23 years old,first choice,Management (evening attendance),evening,Basic education 3rd cycle (9th/10th/11th year) or equiv,133.1,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,114.8,0,0,1,1,male,0,50,0,0,5,5,11.85714286,0,5,5,11.5,16.2,0.3,-0.92,Graduate
6,single,1st phase - general contingent,first choice,Nursing,daytime,Secondary education,142.0,Portuguese,Basic education 3rd cycle (9th/10th/11th year) or equiv,Basic education 2nd cycle (6th/7th/8th year) or equiv,128.4,1,0,0,1,female,1,18,0,0,7,7,13.3,0,8,8,14.345,15.5,2.8,-4.06,Graduate
7,single,3rd phase - general contingent,intermediate choice,Tourism,daytime,Secondary education,119.0,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,113.1,1,0,0,0,male,0,22,0,0,5,0,0.0,0,5,0,0.0,15.5,2.8,-4.06,Dropout
8,single,1st phase - general contingent,intermediate choice,Social Service,daytime,Secondary education,137.0,Romanian,Secondary education,Secondary education,129.3,0,0,0,1,female,1,21,1,0,6,6,13.875,0,6,6,14.14285714,16.2,0.3,-0.92,Graduate
9,single,1st phase - general contingent,first choice,Social Service,daytime,Secondary education,138.0,Portuguese,Secondary education,Basic education 3rd cycle (9th/10th/11th year) or equiv,123.0,1,0,1,0,female,0,18,0,0,6,5,11.4,0,6,2,13.5,8.9,1.4,3.51,Dropout
10,single,1st phase - general contingent,first choice,Advertising and Marketing Management,daytime,Secondary education,139.0,Portuguese,Basic education 2nd cycle (6th/7th/8th year) or equiv,Basic education 3rd cycle (9th/10th/11th year) or equiv,130.6,1,0,0,1,female,0,18,0,0,6,6,12.33333333,0,6,5,14.2,13.9,-0.3,0.79,Graduate
11,single,1st phase - general contingent,first choice,Nursing,daytime,Secondary education,136.0,Portuguese,Basic education 3rd cycle (9th/10th/11th year) or equiv,Basic education 2nd cycle (6th/7th/8th year) or equiv,119.3,1,0,0,1,female,1,18,0,0,8,7,13.21428571,0,8,7,13.21428571,12.7,3.7,-1.7,Graduate
12,single,1st phase - general contingent,intermediate choice,Basic Education,daytime,Secondary education,133.0,Portuguese,Basic education 3rd cycle (9th/10th/11th year) or equiv,Basic education 1st cycle (4th/5th year) or equiv.,130.2,1,0,0,1,female,0,19,0,0,6,0,0.0,0,6,0,0.0,12.7,3.7,-1.7,Dropout
13,single,Short cycle diploma holders,first choice,Tourism,daytime,Professional higher technical course,110.0,Portuguese,Secondary education,Secondary education,111.8,1,0,0,1,female,1,21,0,0,6,6,10.57142857,0,6,5,11.0,8.9,1.4,3.51,Graduate
14,single,1st phase - general contingent,first choice,Veterinary Nursing,daytime,Secondary education,149.0,Portuguese,Basic education 2nd cycle (6th/7th/8th year) or equiv,Basic education 1st cycle (4th/5th year) or equiv.,137.1,1,0,0,1,female,1,18,0,0,5,4,13.25,0,5,5,12.0,10.8,1.4,1.74,Graduate
15,single,1st phase - general contingent,first choice,Journalism and Communication,daytime,Secondary education,127.0,Portuguese,Basic education 3rd cycle (9th/10th/11th year) or equiv,Basic education 1st cycle (4th/5th year) or equiv.,120.7,1,0,0,1,female,0,20,0,0,6,5,13.2,0,6,0,0.0,15.5,2.8,-4.06,Dropout
16,single,3rd phase - general contingent,first choice,Social Service,daytime,Secondary education,137.0,Portuguese,Basic education 3rd cycle (9th/10th/11th year) or equiv,Basic education 2nd cycle (6th/7th/8th year) or equiv,137.4,1,0,0,1,female,0,18,0,0,6,1,12.0,0,6,2,11.0,10.8,1.4,1.74,Enrolled
